movie_name,male_mentions,male_total_centrality,male_avg_centrality,male_cast_count,female_mentions,female_total_centrality,female_avg_centrality,female_cast_count,mentions_ratio,centrality_ratio,cast_ratio,avg_centrality_diff
Alone,7.0,630.1666666666665,2.5742960579243763,2,112.0,1390.0,2.7985162478692223,5,0.06249999944196429,0.4533573138225246,0.399999920000016,-0.22422018994484594
Aloo Chaat,18.0,568.5833333333334,2.267726456779895,2,8.0,1965.4952380952377,17.05381165237487,2,2.2499997187500353,0.2892824780359505,0.99999950000025,-14.786085195594973
Always Kabhi Kabhi,14.0,963.6499999999999,2.2162962335641874,4,27.0,2318.833333333333,4.82531328320802,5,0.5185184993141296,0.4155753609937862,0.799999840000032,-2.6090170496438327
Amaanat,17.0,87.0,0.7671957671957671,3,2.0,10.0,0.5555555555555556,1,8.499995750002125,8.699999130000087,2.9999970000030003,0.21164021164021152
Amar Akbar Anthony,73.0,2993.5333333333333,3.6286970425567224,9,70.0,3731.8166666666666,2.5038088364248456,7,1.0428571279591838,0.802165165097741,1.2857141020408425,1.1248882061318768
Amar Deep,30.0,3724.9880952380945,12.47497470947083,3,7.0,466.48333333333335,7.176666666666667,1,4.285713673469475,7.98525439405375,2.9999970000030003,5.298308042804163
Amar Prem,80.0,9088.092857142856,8.847881498375594,6,39.0,3349.6666666666665,9.584488683493305,2,2.051281998685077,2.7131335021682923,2.99999850000075,-0.7366071851177107
Amiri Garibi,7.0,227.0,4.696825396825397,3,16.0,1659.5,14.662669500101194,3,0.4374999726562517,0.1367881891311912,0.9999996666667778,-9.965844103275796
Amrit (film),30.0,1920.4666666666665,7.168887590103253,2,23.0,1416.0,4.556266367377479,3,1.3043477693761838,1.356261769287009,0.6666664444445185,2.6126212227257746
Anamika,21.0,603.0,4.453688099559242,4,18.0,1897.0666666666664,4.639689137373348,8,1.1666666018518554,0.31785915080236554,0.4999999375000079,-0.1860010378141057
Anand,43.0,2222.333333333333,4.113882798461112,3,3.0,129.5,6.167857142857143,2,14.333328555557147,17.16087502835875,1.499999250000375,-2.053974344396031
Anand Ashram,25.0,1398.3333333333335,3.8008817981465777,7,3.0,481.0,14.147058823529411,1,8.333330555556481,2.9071379010939618,6.9999930000070005,-10.346177025382833
Anand Aur Anand,18.0,538.8333333333333,1.8588733739109677,4,7.0,163.0,3.1346153846153846,1,2.571428204081685,3.3057259510896153,3.9999960000040002,-1.2757420107044168
Anari,18.0,2078.0333333333338,3.5880732139599134,7,0.0,1631.5666666666666,2.0929554915145694,3,18000000.0,1.27364291911232,2.3333325555558146,1.495117722445344
Anari No.1,14.0,95.0,0.8253291536050156,4,4.0,27.0,1.753968253968254,2,3.4999991250002185,3.5185183882030224,1.9999990000005,-0.9286391003632384
Andaaz,54.0,1997.1333333333334,2.7920076282940363,4,72.0,1198.1166666666668,2.4905228088392484,4,0.7499999895833335,1.666893873718285,0.9999997500000625,0.3014848194547879
Andar Baahar,41.0,1303.65,4.401791865177208,6,1.0,36.8,1.936842105263158,1,40.999959000041,35.42527077648722,5.999994000006001,2.4649497599140506
Andaz,10.0,904.3333333333333,5.649879014131888,5,0.0,171.0,1.5057091975696626,3,10000000.0,5.288498994414235,1.6666661111112961,4.144169816562226
Andaz Apna Apna,57.0,1076.8333333333333,3.6310202307780997,7,19.0,732.5,3.5568415637860085,3,2.999999842105271,1.4700796339430084,2.3333325555558146,0.07417866699209119
Angaaray,31.0,2496.3333333333335,2.5060695133520308,11,15.0,911.0,3.5126672091453974,4,2.066666528888898,2.7402122179946447,2.749999312500172,-1.0065976957933667
Angel,39.0,1962.0,7.1669858969457545,4,15.0,888.0,4.87037037037037,4,2.599999826666678,2.2094594569713295,0.9999997500000625,2.2966155265753843
Angoor,0.0,110.0,1.5277777777777777,3,0.0,19.0,1.4615384615384617,1,0.0,5.789473379501401,2.9999970000030003,0.066239316239316
Anhonee,0.0,0.0,0.0,1,5.0,3.0,0.036144578313253,1,0.0,0.0,0.9999990000010001,-0.036144578313253
Anjaam,146.0,3997.5000000000005,2.8031929687868917,10,138.0,3821.249999999999,4.395619173595364,6,1.057971006826297,1.0461236503641158,1.666666388888935,-1.592426204808472
